OBJECTID,NEIGHBOURHOOD_NAME,HOOD_158,ASSAULT_2022,ASSAULT_2023,ASSAULT_2024,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_2024,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_2024,ROBBERY_2022,ROBBERY_2023,ROBBERY_2024,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_2024,POPULATION_2024,Shape__Area,Shape__Length
1,South Eglinton-Davisville,174,122,100,124,10,20,16,24,43,52,15,3,16,42,40,25,27403,944309.032714844,4005.54988673295
2,North Toronto,173,136,105,128,10,18,9,48,31,31,12,14,18,24,40,11,19927,402030.818359375,2543.94588412104
3,Dovercourt Village,172,103,104,120,25,27,36,33,46,45,14,21,12,29,25,22,13688,1503002.17700195,4965.49644819322
4,Junction-Wallace Emerson,171,138,230,195,47,35,45,56,82,77,20,18,12,63,58,71,27328,2222866.7331543,7435.19238437126
5,Yonge-Bay Corridor,170,441,542,556,29,46,37,123,108,94,55,60,65,107,76,77,16568,1118724.5456543,4811.10766870277
6,Bay-Cloverhill,169,122,141,122,14,16,8,43,63,70,20,20,18,26,40,61,22880,690548.715332031,3359.58320926838
7,Bendale-Glen Andrew,156,166,242,197,84,150,123,24,28,23,54,52,55,69,77,72,21422,4913225.28295898,9230.79989765376
8,Downsview,155,141,203,208,128,97,80,32,74,30,26,28,19,64,70,50,21829,8282833.37353516,14053.3016763336
9,Oakdale-Beverley Heights,154,309,447,407,106,164,110,50,88,58,39,30,36,105,73,92,24784,6685141.25830078,12397.4903776028
10,Avondale,153,36,49,51,19,25,17,8,19,21,1,6,12,40,64,21,16084,1031682.44189453,5253.84815377906
11,East Willowdale,152,58,47,86,45,88,41,40,73,54,12,17,34,65,75,53,17790,3513794.26660156,7758.01613004612
12,Yonge-Doris,151,74,103,98,42,45,31,17,16,18,9,14,21,71,142,52,23187,471717.027099609,4845.44808882912
13,Fenside-Parkwoods,150,103,128,134,37,40,78,11,20,9,9,13,11,59,38,31,23371,3315516.42041016,10299.715289467
14,Parkwoods-O'Connor Hills,149,67,96,67,37,57,63,18,35,30,7,6,7,28,27,31,15492,4146976.81201172,11283.2781025206
15,East L'Amoreaux,148,77,82,80,46,53,75,24,26,36,7,10,9,35,40,31,23940,3694316.38647461,8619.11862856782
16,L'Amoreaux West,147,99,119,116,31,64,55,17,27,41,10,19,28,49,47,33,23956,3460788.24389648,8739.66543079542
17,Malvern East,146,129,145,142,45,65,77,16,33,14,17,20,17,72,52,36,29326,4832296.86474609,12117.7805678935
18,Malvern West,145,84,92,103,55,55,64,8,16,17,15,14,15,32,47,27,19397,4029796.08544922,9154.55328825327
19,Morningside Heights,144,101,121,128,132,157,129,24,33,39,27,23,23,55,70,53,27855,28954808.4042969,24951.3249377008
20,West Rouge,143,62,68,84,68,102,83,22,26,21,14,22,17,57,47,39,24041,8582951.7434082,19556.4293993429
21,Woburn North,142,190,187,215,107,105,84,35,45,30,26,23,27,104,92,91,29076,6299193.6628418,13078.7346420878
22,Golfdale-Cedarbrae-Woburn,141,194,195,192,75,77,62,29,24,35,15,30,31,105,76,52,30798,6035001.79516602,13482.5565275689
23,Guildwood,140,37,56,36,9,23,17,6,9,15,6,1,9,52,29,21,10752,3806075.71142578,9795.21470783135
24,Scarborough Village,139,156,154,158,25,46,64,20,35,31,9,24,28,51,71,50,18862,3151549.07714844,7924.29719984002
25,Eglinton East,138,174,170,200,45,51,67,39,53,35,25,35,34,105,98,77,25672,3223275.52856445,10015.4753541574
26,West Hill,136,382,441,408,60,81,91,45,55,69,63,56,45,148,147,105,32000,9625559.96142578,14978.3491442572
27,Morningside,135,125,130,175,52,50,57,11,8,10,15,3,11,110,49,41,19186,5740235.78442383,13214.7856963155
28,Highland Creek,134,60,65,70,44,62,60,14,14,16,2,3,12,35,21,26,14744,5248155.98242188,9914.98844002922
29,Centennial Scarborough,133,39,38,50,26,47,28,21,17,19,0,7,5,59,29,37,14882,5468418.83447266,12073.7931148408
30,Milliken,130,66,89,116,107,305,180,63,76,69,33,36,57,83,89,89,26922,9478036.39282227,16781.6326037786
31,Agincourt North,129,78,82,74,49,125,128,24,44,31,11,14,43,45,30,43,30426,7262015.77636719,12381.356330836
32,Agincourt South-Malvern West,128,175,190,178,82,129,89,53,67,61,33,18,28,83,72,57,29799,7873085.43798828,15394.6874649613
33,Dorset Park,126,187,217,207,69,100,114,73,66,74,30,29,26,80,97,78,27379,6012148.17016602,10566.9878062214
34,Ionview,125,85,126,109,11,34,25,12,15,17,8,4,2,43,32,20,14319,1952896.36694336,6356.22332616128
35,Kennedy Park,124,224,314,272,53,45,49,43,41,33,26,30,26,95,73,59,19131,3580843.35205078,7606.72163161012
36,Cliffcrest,123,135,180,156,43,62,70,21,24,27,14,13,7,78,49,38,18285,7190836.36010742,19944.1073049258
37,Birchcliffe-Cliffside,122,159,210,160,46,73,70,31,34,48,15,14,8,69,54,35,25508,6009067.38696289,14693.4888602702
38,Downtown Yonge East,168,539,654,620,44,45,45,110,120,87,76,90,105,81,113,171,23692,808531.202880859,4251.56733939615
39,Church-Wellesley,167,388,330,368,16,38,23,73,76,61,42,55,43,53,78,74,27123,556185.245361328,3151.47804394103
40,St Lawrence-East Bayfront-The Islands,166,393,440,520,39,43,34,127,94,107,32,41,35,100,111,61,38159,11314215.3041992,19766.0747742551
41,Harbourfront-CityPlace,165,265,270,274,27,34,27,58,77,32,31,22,18,60,91,57,33840,1138334.07421875,7255.36128654652
42,Wellington Place,164,443,418,469,69,72,62,127,142,114,55,46,37,77,92,93,35763,979639.036376953,4214.2619768025
43,Fort York-Liberty Village,163,164,168,188,16,23,22,28,33,29,10,7,12,30,37,28,24843,2339540.37084961,9924.96381932796
44,West Queen West,162,106,107,117,22,14,13,36,43,40,6,8,8,37,31,25,15110,901748.542480469,4286.66847969292
45,Humber Bay Shores,161,121,152,131,53,78,31,27,37,33,8,9,8,66,30,47,25072,1578118.50683594,16145.7930864194
46,Mimico-Queensway,160,343,525,871,63,70,78,47,34,51,16,8,10,64,54,48,21790,5480612.03466797,13398.7011030995
47,Etobicoke City Centre,159,206,308,239,189,294,261,86,69,93,43,36,32,188,188,98,29979,10134665.5534668,17420.268633481
48,Islington,158,97,136,137,96,174,83,53,58,94,26,12,18,74,47,47,27740,6105215.07104492,13591.2857804698
49,Bendale South,157,39,73,76,22,24,33,8,15,14,5,20,10,28,24,14,11576,2543590.73510742,7242.17363603241
50,Caledonia-Fairbank,109,59,62,54,25,34,33,6,14,10,4,3,5,23,10,26,10785,1544557.65722656,4956.20458595366
51,Briar Hill-Belgravia,108,101,91,108,54,37,45,26,38,46,15,23,8,43,53,65,16842,1827724.55981445,6289.0499925237
52,Oakwood Village,107,154,107,137,64,59,49,39,36,47,22,13,15,47,45,27,22721,2219372.56640625,6334.9036099945
53,Humewood-Cedarvale,106,39,53,49,56,54,32,32,38,29,5,1,2,38,26,29,15476,1871170.0637207,6036.12881602337
54,Lawrence Park North,105,35,32,58,84,82,39,29,33,35,6,6,11,28,33,29,16521,2289920.91503906,6540.33799081589
55,Lawrence Park South,103,31,33,31,101,123,49,35,58,56,8,7,14,40,22,18,16851,3242395.98486328,9777.80193527985
56,Forest Hill North,102,52,61,52,39,55,16,14,46,28,9,9,6,11,35,21,13265,1571697.35375977,5716.05836857332
57,Forest Hill South,101,31,43,36,82,95,26,26,75,52,0,1,7,28,15,18,12615,2479878.58349609,7188.77972337365
58,Yonge-Eglinton,100,122,105,172,34,40,30,33,33,35,4,11,16,34,18,22,14680,1650361.81811523,5685.35557146289
59,Mount Pleasant East,99,54,77,51,64,57,49,28,20,48,4,8,5,44,23,20,18324,3093372.08886719,11322.3798169615
60,Rosedale-Moore Park,98,220,270,287,111,144,74,69,101,75,21,24,24,45,46,56,22995,4661570.71972656,9735.10648613359
61,Yonge-St.Clair,97,45,34,55,32,40,20,26,36,35,7,2,1,21,19,10,15336,1161370.63354492,5873.15937293483
62,Casa Loma,96,59,55,56,30,43,22,18,47,49,10,15,11,21,11,18,13128,1922411.7980957,5937.69079738128
63,Annex,95,387,398,449,69,84,65,139,138,148,44,63,44,113,107,126,35899,2790299.21801758,7605.96627119131
64,Wychwood,94,79,91,100,34,27,32,28,41,36,6,25,6,25,21,23,15392,1682041.59423828,5434.89670190745
65,Corso Italia-Davenport,92,111,147,132,38,42,35,24,41,30,10,18,28,21,38,14,14119,1889355.69067383,6089.31137563601
66,Weston-Pelham Park,91,100,119,130,29,23,23,14,38,28,11,6,8,17,16,33,12292,1455888.94921875,5546.76814489661
67,Junction Area,90,113,133,158,46,46,70,56,68,67,23,19,14,43,40,55,16094,2631929.67919922,7789.87315287201
68,Oakridge,121,186,215,246,23,23,25,35,29,37,11,18,24,62,54,26,15722,1878205.05322266,7809.47816470049
69,Clairlea-Birchmount,120,252,279,369,72,121,139,77,59,58,18,21,14,116,90,86,30413,7397931.57397461,16486.0654452645
70,Wexford/Maryvale,119,212,258,361,130,208,182,75,77,67,40,30,46,141,119,125,30622,10264126.3745117,14186.799529797
71,Tam O'Shanter-Sullivan,118,114,134,118,78,103,73,35,43,44,32,21,25,100,70,56,31562,5421907.20019531,10749.9966236586
72,Steeles,116,44,49,50,41,63,43,33,27,27,7,7,9,41,23,15,25870,4561098.04492188,8964.60086803805
73,Mount Dennis,115,119,124,133,39,55,37,24,31,32,7,7,15,38,32,34,14549,2129361.63085938,6852.14104600924
74,Lambton Baby Point,114,54,31,44,24,22,8,11,15,15,1,5,3,6,8,10,8598,1782160.22265625,8074.06270249685
75,Weston,113,242,242,257,99,108,90,46,61,53,32,36,56,86,60,70,21585,2565620.89819336,10202.5084095516
76,Beechborough-Greenbrook,112,71,88,97,21,23,32,13,24,15,2,13,12,25,13,22,7717,1833583.37817383,6414.63723799029
77,Rockcliffe-Smythe,111,174,179,200,62,77,57,33,53,35,19,20,11,59,92,81,23984,5070942.53564453,11620.7453970318
78,Keelesdale-Eglinton West,110,104,106,84,29,34,23,17,29,14,10,25,10,34,22,53,12334,1750632.40014648,5675.40834137485
79,Palmerston-Little Italy,80,84,79,69,27,13,15,36,35,44,11,20,8,35,30,10,14240,1435255.54345703,4967.49937721841
80,University,79,99,130,140,13,9,13,39,55,53,15,15,19,39,40,40,8366,1405204.4987793,4971.74289705384
81,Kensington-Chinatown,78,409,482,477,41,48,26,105,145,152,50,46,62,97,104,306,23271,1534624.3059082,5024.35267570997
82,North St.James Town,74,224,272,283,15,10,12,38,40,46,24,27,36,65,59,64,21290,423922.603271484,2574.40326107591
83,Moss Park,73,548,617,594,59,43,37,129,146,124,66,56,74,92,108,103,28930,1396902.2878418,6369.58565334189
84,Regent Park,72,126,160,165,11,14,14,25,40,28,12,20,26,27,34,18,16686,650277.03125,3258.90032155151
85,Cabbagetown-South St.James Town,71,134,133,138,18,19,14,65,53,49,22,14,29,51,46,35,12676,1417918.51928711,5759.06262752587
86,South Riverdale,70,300,330,305,77,82,88,101,96,94,39,43,41,80,90,108,31452,11030185.232666,42678.1504457333
87,Blake-Jones,69,48,77,60,9,6,5,23,34,13,10,11,17,14,15,21,8157,941209.260253906,4042.83762584962
88,North Riverdale,68,78,79,63,29,27,24,30,32,21,11,8,9,29,20,26,12164,1786063.19213867,5475.70847607407
89,Playter Estates-Danforth,67,97,108,110,19,33,17,31,25,41,14,19,13,43,26,37,8177,887588.452148438,4501.78910920767
90,Danforth,66,129,137,125,24,26,24,58,24,13,24,20,24,41,28,32,9913,1119675.31640625,6233.29023224189
91,Greenwood-Coxwell,65,113,129,120,23,30,45,35,22,45,32,7,11,40,36,49,15585,1675165.80297852,6843.0068886632
